"","Forest ( ha )","Forest ( ha )","Forest ( ha )","Forest ( ha )"
"","1990","2000","2010","2020"
"Afghanistan","1208440.00","1208440.00","1208440.00","1208440.00"
"Albania (Desk study)","788800.00","769300.00","782070.00","788900.00"
"Algeria","1667000.00","1579000.00","1918000.00","1949000.00"
"American Samoa","18070.00","17730.00","17430.00","17130.00"
"Andorra","16000.00","16000.00","16000.00","16000.00"
"Angola","79262780.00","77708610.00","72158000.00","66607380.00"
"Anguilla (Desk study)","5500.00","5500.00","5500.00","5500.00"
"Antigua and Barbuda (Desk study)","10110.00","9450.00","8780.00","8120.00"
"Argentina","35204000.00","33378000.00","30214000.00","28573000.00"
"Armenia","334730.00","332640.00","330560.00","328470.00"
"Aruba (Desk study)","420.00","420.00","420.00","420.00"
"Australia","133882200.00","131814100.00","129546100.00","134005100.00"
"Austria","3775670.00","3838140.00","3863200.00","3899150.00"
"Azerbaijan","944740.00","987220.00","1032490.00","1131770.00"
"Bahamas","509860.00","509860.00","509860.00","509860.00"
"Bahrain (Desk study)","220.00","370.00","520.00","700.00"
"Bangladesh","1920330.00","1920330.00","1888340.00","1883400.00"
"Barbados","6300.00","6300.00","6300.00","6300.00"
"Belarus","7780000.00","8273000.00","8630000.00","8767600.00"
"Belgium","677400.00","667300.00","689870.00","689300.00"
"Belize","1600030.00","1459300.00","1391390.00","1277050.00"
"Benin","4835150.00","4135150.00","3635150.00","3135150.00"
"Bermuda (Desk study)","1000.00","1000.00","1000.00","1000.00"
"Bhutan","2506720.00","2606000.00","2705290.00","2725080.00"
"Bolivia (Plurinational State of)","57804720.00","55101390.00","53086010.00","50833760.00"
"Bonaire, Sint Eustatius and Saba (Desk study)","1910.00","1910.00","1910.00","1910.00"
"Bosnia and Herzegovina (Desk study)","2210000.00","2111650.00","2102660.00","2187910.00"
"Botswana","18803700.00","17620700.00","16437700.00","15254700.00"
"Brazil","588898000.00","551088600.00","511580700.00","496619600.00"
"British Virgin Islands (Desk study)","3710.00","3670.00","3640.00","3620.00"
"Brunei Darussalam","413000.00","397000.00","380000.00","380000.00"
"Bulgaria","3327000.00","3375000.00","3737000.00","3893000.00"
"Burkina Faso","7716600.00","7216500.00","6716500.00","6216400.00"
"Burundi","276480.00","193940.00","193940.00","279640.00"
"Cabo Verde","15380.00","39720.00","42720.00","45720.00"
"Cambodia","11004790.00","10781000.00","10589230.00","8068370.00"
"Cameroon","22500000.00","21597490.00","20900480.00","20340480.00"
"Canada","348272930.00","347801970.00","347322210.00","346928100.00"
"Cayman Islands (Desk study)","13130.00","12930.00","12720.00","12720.00"
"Central African Republic","23203000.00","22903000.00","22603000.00","22303000.00"
"Chad","6730000.00","6353000.00","5530000.00","4313000.00"
"Chile","15246050.00","15817060.00","16725260.00","18210700.00"
"China","157140590.00","177000550.00","200610380.00","219978180.00"
"Colombia","64958140.00","62735500.00","60807790.00","59141910.00"
"Comoros","46060.00","41680.00","37300.00","32920.00"
"Congo","22315000.00","22195000.00","22075000.00","21946000.00"
"Cook Islands","14910.00","15570.00","15590.00","15590.00"
"Costa Rica","2907400.00","2857220.00","2871200.00","3034870.00"
"Côte d'Ivoire","7850860.00","5094450.00","3965580.00","2836710.00"
"Croatia","1850000.00","1885000.00","1920000.00","1939110.00"
"Cuba","2058000.00","2435000.00","2932000.00","3242000.00"
"Curaçao (Desk study)","70.00","70.00","70.00","70.00"
"Cyprus","161110.00","171610.00","172840.00","172530.00"
"Czechia","2629420.00","2637290.00","2657380.00","2677090.00"
"Democratic People's Republic of Korea (Desk study)","6912030.00","6454690.00","6242390.00","6030090.00"
"Democratic Republic of the Congo","150629000.00","143899000.00","137169000.00","126155240.00"
"Denmark","531440.00","571600.00","586490.00","628440.00"
"Djibouti","5600.00","5600.00","5600.00","5800.00"
"Dominica","50310.00","47870.00","47870.00","47870.00"
"Dominican Republic","1594890.00","1972470.00","2073120.00","2144100.00"
"Ecuador","14632210.00","13730500.00","13028190.00","12497830.00"
"Egypt","43810.00","59210.00","65640.00","44980.00"
"El Salvador","718880.00","673880.00","628880.00","583880.00"
"Equatorial Guinea","2699150.00","2615580.00","2532010.00","2448420.00"
"Eritrea","1150060.00","1118460.00","1086860.00","1055260.00"
"Estonia","2205900.00","2238890.00","2336020.00","2438400.00"
"Eswatini","461140.00","473280.00","485430.00","497560.00"
"Ethiopia","19258500.00","18528500.00","17798500.00","17068500.00"
"Falkland Islands (Malvinas) (Desk study)","0.00","0.00","0.00","0.00"
"Faroe Islands","80.00","80.00","80.00","80.00"
