"tsc_tree_cover_loss_drivers__driver","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"Commodity driven deforestation",2001,2691587.496334861290353230,1331040457.9939740082255586
"Commodity driven deforestation",2002,3405408.155001274106377034,1800405826.92462485397348226
"Commodity driven deforestation",2003,3141040.695144844515105538,1623024960.2745779662073844
"Commodity driven deforestation",2004,4700815.530597509378610110,2607674729.0633252641431437
"Commodity driven deforestation",2005,4208311.037314378037088993,2466191920.6505760588755288
"Commodity driven deforestation",2006,3936387.839934300937750137,2290623819.3408853855975648
"Commodity driven deforestation",2007,4247114.138492578154601123,2486048897.8563616518844525
"Commodity driven deforestation",2008,4203168.235442926696818370,2343445413.9494030878402195
"Commodity driven deforestation",2009,4651228.308190538716796912,2763520636.8153661807844958
"Commodity driven deforestation",2010,4583958.248639228704771578,2610159930.3317107714417405
"Commodity driven deforestation",2011,4425232.93488037447419112,2577746244.3095795849777898
"Commodity driven deforestation",2012,5867868.701752920080714859,3541819752.4227386045559422
"Commodity driven deforestation",2013,3664521.432188263211354742,2095673786.3872158523545270
"Commodity driven deforestation",2014,5275193.891206571838599595,3116327784.4402555644709297
"Commodity driven deforestation",2015,4606512.108524904627492901,2735582294.4144226435454254
"Commodity driven deforestation",2016,7224818.459504846255239795,4430367873.8430008698533465
"Commodity driven deforestation",2017,5902041.216442338091977490,3316627159.214608554599199
"Commodity driven deforestation",2018,4656296.203509428729539088,2648037244.779103444229351
"Commodity driven deforestation",2019,5060708.523413043714436816,2771082206.783404426150960
"Commodity driven deforestation",2020,4755158.686302941856734433,2673478097.6726067000553755
"Commodity driven deforestation",2021,4521544.171282442424267050,2633895473.2014041543924025
"Commodity driven deforestation",2022,4774582.684411281341891207,2843386499.4289209063334665
"Forestry",2001,5009330.101687984009918412,1497160857.59287663084862132
"Forestry",2002,5312296.117619664036667606,1691771976.6183068639224151
"Forestry",2003,4876170.015517525983988595,1487251145.23975674818573031
"Forestry",2004,7108328.159669629589502498,2252853420.6504361312621697
"Forestry",2005,6493889.407343032135511471,2175601188.2784286466385142
"Forestry",2006,6559799.069377260364752973,2256099606.2225317743954112
"Forestry",2007,7063278.856511019942162182,2493122550.60868083049265766
"Forestry",2008,7047369.402089365109465626,2516747526.39244445664229614
"Forestry",2009,5775440.184997406764305397,2173011736.5234063084074226
"Forestry",2010,6325521.631756703846139937,2443359543.6073109918854970
"Forestry",2011,6318206.996145525870050648,2405730937.2826706398587420
